[5/18/2026, 10:23:18 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:24 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:26 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:26 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:27 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:29 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:30 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:23:30 PM] IP: 192.168.100.218 | Device: Apple iPhone | OS: iOS 26.2.0
[5/18/2026, 10:25:29 PM] IP: 192.168.100.215 | Device:  Desktop/Laptop | OS: Windows 10
[5/18/2026, 10:28:40 PM] IP: 192.168.100.215 | Device:  Desktop/Laptop | OS: Windows 10
[5/18/2026, 10:28:41 PM] IP: 192.168.100.215 | Device:  Desktop/Laptop | OS: Windows 10
[5/18/2026, 10:28:48 PM] IP: 192.168.100.215 | Model: Desktop / Laptop | OS: Win32
[5/18/2026, 10:28:52 PM] IP: ::1 | Model: Desktop / Laptop | OS: Win32
[5/18/2026, 10:29:03 PM] IP: 192.168.100.218 | Model: iPhone 14 / 13 Pro / 13 / 12 Pro / 12 | OS: iPhone
[5/18/2026, 10:29:23 PM] IP: 192.168.100.218 | Model: iPhone 14 / 13 Pro / 13 / 12 Pro / 12 | OS: iPhone
